15	10	E	-9769864.20597139	8
emissionprobs	14	3	H3K36me3	1	0.07863039156759948
emissionprobs	14	4	H3K4me1	0	0.9981396050106599
emissionprobs	14	4	H3K4me1	1	0.0018603949893401318
emissionprobs	14	5	H3K4me2	0	0.9998449787695681
emissionprobs	14	5	H3K4me2	1	1.550212304319161E-4
emissionprobs	14	6	H3K4me3	0	0.9971878091402717
emissionprobs	14	6	H3K4me3	1	0.002812190859728357
emissionprobs	14	7	H3K79me2	0	0.9974658277371075
emissionprobs	14	7	H3K79me2	1	0.002534172262892515
emissionprobs	14	8	H3K9ac	0	0.9998404117805928
emissionprobs	14	8	H3K9ac	1	1.5958821940725688E-4
emissionprobs	14	9	H3K9me3	0	0.49609017016072987
emissionprobs	14	9	H3K9me3	1	0.5039098298392702
emissionprobs	15	0	H2A.Z	0	0.9911351609020917
emissionprobs	15	0	H2A.Z	1	0.008864839097908292
emissionprobs	15	1	H3K27ac	0	0.9999023844280062
emissionprobs	15	1	H3K27ac	1	9.761557199391947E-5
emissionprobs	15	2	H3K27me3	0	0.6057073741159931
emissionprobs	15	2	H3K27me3	1	0.394292625884007
emissionprobs	15	3	H3K36me3	0	0.999647900145455
emissionprobs	15	3	H3K36me3	1	3.520998545450504E-4
emissionprobs	15	4	H3K4me1	0	0.997811141361846
emissionprobs	15	4	H3K4me1	1	0.0021888586381539617
emissionprobs	15	5	H3K4me2	0	0.9992283418995977
emissionprobs	15	5	H3K4me2	1	7.716581004023007E-4
emissionprobs	15	6	H3K4me3	0	0.9999769858420932
emissionprobs	15	6	H3K4me3	1	2.301415790692054E-5
emissionprobs	15	7	H3K79me2	0	0.9999245814435626
emissionprobs	15	7	H3K79me2	1	7.541855643734915E-5
emissionprobs	15	8	H3K9ac	0	0.9999798559102597
emissionprobs	15	8	H3K9ac	1	2.01440897402245E-5
emissionprobs	15	9	H3K9me3	0	0.9887108703394204
emissionprobs	15	9	H3K9me3	1	0.011289129660579626
